iteration,local_LB,local_UB,LB,UB,gap
1,0.0,9808.018,0.0,9808.018,1.0
2,7739.068,9626.312,7739.068,9626.312,0.196
3,8777.029,9422.047,8777.029,9422.047,0.068
4,9005.039,9476.501,9005.039,9422.047,0.044
5,9100.495,9486.874,9100.495,9422.047,0.034
6,9189.808,9456.042,9189.808,9422.047,0.025
7,9224.28,9460.271,9224.28,9422.047,0.021
8,9239.082,9464.126,9239.082,9422.047,0.019
9,9261.548,9401.896,9261.548,9401.896,0.015
10,9268.825,9401.61,9268.825,9401.61,0.014
11,9271.478,9401.61,9271.478,9401.61,0.014
12,9271.478,9401.61,9271.478,9401.61,0.014
13,9271.478,9401.61,9271.478,9401.61,0.014
14,9271.478,9401.61,9271.478,9401.61,0.014
15,9271.478,9401.61,9271.478,9401.61,0.014
16,9271.478,9401.61,9271.478,9401.61,0.014
17,9271.478,9401.61,9271.478,9401.61,0.014
18,9271.478,9401.61,9271.478,9401.61,0.014
19,9271.478,9401.61,9271.478,9401.61,0.014
20,9271.478,9401.61,9271.478,9401.61,0.014
CPU time: 220.26260375976562
