iteration,local_LB,local_UB,LB,UB,gap
1,0.0,8056.18,0.0,8056.18,1.0
2,6306.228,7882.392,6306.228,7882.392,0.2
3,7330.735,7716.505,7330.735,7716.505,0.05
4,7487.077,7831.65,7487.077,7716.505,0.03
5,7564.057,7776.335,7564.057,7716.505,0.02
6,7628.718,7766.968,7628.718,7716.505,0.011
7,7636.29,7684.597,7636.29,7684.597,0.006
8,7646.957,7745.409,7646.957,7684.597,0.005
9,7657.427,7697.928,7657.427,7684.597,0.004
10,7657.466,7684.597,7657.466,7684.597,0.004
11,7657.466,7684.597,7657.466,7684.597,0.004
12,7657.466,7684.597,7657.466,7684.597,0.004
13,7657.466,7684.597,7657.466,7684.597,0.004
14,7657.466,7684.597,7657.466,7684.597,0.004
15,7657.466,7684.597,7657.466,7684.597,0.004
16,7657.466,7684.597,7657.466,7684.597,0.004
17,7657.466,7684.597,7657.466,7684.597,0.004
18,7657.466,7684.597,7657.466,7684.597,0.004
19,7657.466,7684.597,7657.466,7684.597,0.004
20,7657.466,7684.597,7657.466,7684.597,0.004
CPU time: 156.51825785636902
