iteration,local_LB,local_UB,LB,UB,gap
1,0,8056.18,0,8056.18,1
2,5355.233,7490.402,5355.233,7490.402,0.285
3,7024.077,7499.306,7024.077,7490.402,0.062
4,7211.632,7456.676,7211.632,7456.676,0.033
5,7290.271,7354.974,7290.271,7354.974,0.009
6,7318.269,7367.298,7318.269,7354.974,0.005
7,7327.095,7354.974,7327.095,7354.974,0.004
8,7327.095,7354.974,7327.095,7354.974,0.004
9,7327.095,7354.974,7327.095,7354.974,0.004
10,7327.095,7354.974,7327.095,7354.974,0.004
11,7327.095,7354.974,7327.095,7354.974,0.004
12,7327.095,7354.974,7327.095,7354.974,0.004
13,7327.095,7354.974,7327.095,7354.974,0.004
14,7327.095,7354.974,7327.095,7354.974,0.004
15,7327.095,7354.974,7327.095,7354.974,0.004
16,7327.095,7354.974,7327.095,7354.974,0.004
17,7327.095,7354.974,7327.095,7354.974,0.004
18,7327.095,7354.974,7327.095,7354.974,0.004
19,7327.095,7354.974,7327.095,7354.974,0.004
20,7327.095,7354.974,7327.095,7354.974,0.004
CPU time: 180.84873723983765,,,,,
