iteration,local_LB,local_UB,LB,UB,gap
1,0.0,21590.371,0.0,21590.371,1.0
2,21230.925,21557.742,21230.925,21557.742,0.015
3,21320.978,21554.904,21320.978,21554.904,0.011
4,21390.976,21561.79,21390.976,21554.904,0.008
5,21424.447,21558.346,21424.447,21554.904,0.006
6,21428.576,21552.97,21428.576,21552.97,0.006
7,21445.438,21540.177,21445.438,21540.177,0.004
8,21462.556,21529.251,21462.556,21529.251,0.003
9,21466.109,21534.75,21466.109,21529.251,0.003
10,21470.16,21553.539,21470.16,21529.251,0.003
11,21472.412,21528.244,21472.412,21528.244,0.003
12,21475.802,21525.541,21475.802,21525.541,0.002
13,21477.02,21533.554,21477.02,21525.541,0.002
14,21478.677,21529.467,21478.677,21525.541,0.002
15,21478.548,21527.42,21478.548,21525.541,0.002
16,21479.36,21525.541,21479.36,21525.541,0.002
17,21479.36,21525.541,21479.36,21525.541,0.002
18,21479.36,21525.541,21479.36,21525.541,0.002
19,21479.36,21525.541,21479.36,21525.541,0.002
20,21479.36,21525.541,21479.36,21525.541,0.002
CPU time: 4889.351665973663
