iteration,local_LB,local_UB,LB,UB,gap
1,0.0,9808.018,0.0,9808.018,1.0
2,7062.859,9447.751,7062.859,9447.751,0.252
3,8503.465,9175.992,8503.465,9175.992,0.073
4,8840.802,9205.529,8840.802,9175.992,0.037
5,8968.487,9259.643,8968.487,9175.992,0.023
6,9009.186,9270.51,9009.186,9175.992,0.018
7,9030.593,9225.591,9030.593,9175.992,0.016
8,9034.708,9146.867,9034.708,9146.867,0.012
9,9035.991,9173.619,9035.991,9146.867,0.012
10,9037.581,9163.471,9037.581,9146.867,0.012
11,9040.685,9163.471,9040.685,9146.867,0.012
12,9040.685,9163.471,9040.685,9146.867,0.012
13,9040.685,9163.471,9040.685,9146.867,0.012
14,9040.685,9163.471,9040.685,9146.867,0.012
15,9040.685,9163.471,9040.685,9146.867,0.012
16,9040.685,9163.471,9040.685,9146.867,0.012
17,9040.685,9163.471,9040.685,9146.867,0.012
18,9040.685,9163.471,9040.685,9146.867,0.012
19,9040.685,9163.471,9040.685,9146.867,0.012
20,9040.685,9163.471,9040.685,9146.867,0.012
CPU time: 252.40874123573303
